,Symbol,Date,price,3m,6m,9m,12m,ROE,P/E,P/B,D/E,Current_Ratio,Net_Profit_Margin,EBITDA,DilutedEPS,3m_momentum,6m_momentum,target,Security,GICS Sector
0,MCO,2020-12-31 00:00:00-05:00,279.956298828125,288.6781311035156,350.98944091796875,344.5287170410156,379.5492248535156,1.1332058636073932,,,442.5111536010197,2.0292529252925293,0.3310370508285235,2654000000.0,,1.0033951077416223,1.060698388927379,1.2537294218075834,Moody's Corporation,Financials
1,TRMB,2020-12-31 00:00:00-05:00,66.7699966430664,77.79000091552734,81.83000183105469,82.25,87.19000244140625,0.1083988990519614,43.0774171890751,4.683496942657748,46.05076593733492,0.9771982002592848,0.123868221240906,670100000.0,1.55,1.371047137516231,1.5459596843278294,1.225550485924012,Trimble Inc.,Information Technology
2,A,2021-11-01 00:00:00-04:00,153.31228637695312,137.84609985351562,117.05410766601562,130.8538360595703,138.408935546875,0.2245314529597327,38.91174781140942,8.733878626410208,50.64019298571163,2.2242388758782203,0.1914859946194018,1762000000.0,3.94,1.0273442392773289,1.1782571393926828,0.7635008768868046,Agilent Technologies,Health Care
3,AAPL,2021-09-30 00:00:00-04:00,138.8638916015625,175.13543701171875,174.93544006347656,134.73765563964844,136.3853759765625,1.5007132667617689,24.75292185411096,37.12043562981664,216.3924552226977,1.0745531195957954,0.2588179335569424,123136000000.0,5.61,1.0346962475234265,1.183925948769359,1.2597616241415663,Apple Inc.,Information Technology
4,ABBV,2021-12-31 00:00:00-05:00,119.71575927734376,144.81910705566406,137.98660278320312,122.0449676513672,148.456787109375,0.7490913811007269,18.560582833696703,13.806782465981302,497.6895119418484,0.7935443541512758,0.2053846290727263,23933000000.0,6.45,1.2704318277870523,1.2301957508754082,1.1526188609378791,AbbVie,Health Care
5,ABNB,2021-12-31 00:00:00-05:00,166.49000549316406,171.75999450683594,89.08000183105469,105.04000091552734,85.5,-0.073717277486911,-292.0877289353756,21.478082384039595,50.63874345549738,1.947790533102689,-0.0587449933244325,276000000.0,-0.57,0.9924888553988916,1.087175174067671,0.5350471433236408,Airbnb,Consumer Discretionary
6,ABT,2021-12-31 00:00:00-05:00,132.35293579101562,111.69922637939452,102.9443359375,92.0862274169922,104.97984313964844,0.1975029327970504,33.59211568299889,6.613580306411009,53.086419753086425,1.8495993895459748,0.1641555426581543,12282000000.0,3.94,1.1959995380847408,1.223335361910652,0.7778017385987036,Abbott Laboratories,Health Care
7,ACGL,2021-12-31 00:00:00-05:00,42.26744079589844,46.0425033569336,43.25637435913086,43.30392074584961,59.69740676879883,0.1592364211271074,8.081728641663181,1.2492047885026245,20.11232036625705,,0.2417077543702375,,5.23,1.1642221497920926,1.141499783911364,1.023397053254485,Arch Capital Group,Financials
8,ACN,2021-08-31 00:00:00-04:00,320.7145080566406,341.5844116210937,302.818603515625,286.84375,278.2190856933594,0.30245643324181,35.01250087954592,10.607178298705431,17.95561719237005,1.2519369474577635,0.1168892313951079,9711850000.0,9.16,1.201616329730259,1.311413697290295,0.944199986050282,Accenture,Information Technology
9,ADBE,2021-11-30 00:00:00-05:00,669.8499755859375,467.6799926757813,416.4800109863281,375.0700073242188,344.92999267578125,0.3258768669324863,66.85129496865645,21.774537964238423,31.58072582280192,1.2505770340450086,0.3054798859676908,6606000000.0,10.02,1.0057958609110689,1.3275397229612516,0.6217511773767265,Adobe Inc.,Information Technology
10,ADI,2021-11-01 00:00:00-04:00,164.37039184570312,155.9291229248047,149.84909057617188,163.2168426513672,138.40628051757812,0.0365972353205531,47.50589359702403,1.7361266798883452,17.957342785855182,1.9414120142424391,0.1899928480521258,2588173000.0,3.46,1.0483796955253368,1.1522093126734916,0.9116546511476784,Analog Devices,Information Technology
11,ADM,2021-12-31 00:00:00-05:00,61.88012313842773,83.07392120361328,71.75105285644531,74.73330688476562,86.61968994140625,0.1205232014948614,12.918606083179066,1.5582217242670326,47.07478756061752,1.453845452888646,0.0317774988562915,4574000000.0,4.79,1.1325714063090953,1.1282044612390545,1.159517041023698,Archer Daniels Midland,Consumer Staples
12,ADP,2021-06-30 00:00:00-04:00,183.8351287841797,185.8811187744141,229.33409118652344,213.77047729492188,198.0752716064453,0.4582811590624503,30.28585317696535,13.879793765984257,59.111832242817584,1.0694845490723144,0.1781869299869711,3931600000.0,6.07,1.0620916873591648,1.1540241113052288,1.2474988211559288,Automatic Data Processing,Industrials
13,ADSK,2021-02-01 00:00:00-05:00,286.32000732421875,291.9100036621094,322.07000732421875,315.010009765625,249.7700042724609,1.2511651993785604,,,217.98032107716207,0.8066795710818201,0.3187335092348285,722000000.0,,1.1893328935408245,1.2110138992257728,1.124860292978122,Autodesk,Information Technology
